percapita
5847
42035
50277
43814
6727
15646
24569
63829
26377
48461
44995
51860
50941
18168
52531
15373
0
84600
34997
45320
19824
143151
22752
113196
0
32021
185741
7933
58003
67987
16930
25065
44947
7497
21529
27452
31178
50339
86673
46344
4527
4498
6133
11321
58585
0
57189
0
4638
14968
0
0
3881
11654
